1,2037,1000,786550,True
1,2047,1001,739191,True
1,2073,1002,856725,True
2,2084,1003,382981,True
2,2082,1004,775063,True
2,2058,1005,83578,True
3,2070,1006,303408,True
3,2056,1007,527824,True
3,2093,1008,353991,True
4,2036,1009,636294,True
4,2048,1010,436064,True
4,2052,1011,441460,True
5,2066,1012,321103,True
5,2073,1013,974486,True
5,2040,1014,364267,True
6,2036,1015,455202,True
6,2086,1016,308319,True
6,2042,1017,706429,True
4,2000,3425,451553,True
3,2000,5435,901314,True
1,2000,6418,714064,True
6,2000,3102,55605,True
1,2000,6237,335297,True
3,2000,4556,509113,True
1,2000,4267,484616,True
4,2000,2298,834345,True
6,2000,4085,893050,True
5,2000,4044,306718,True
5,2000,4615,843889,True
2,2000,5291,115340,True
4,2000,6406,120876,True
6,2000,3697,833534,True
2,2000,2476,709987,True
3,2000,5438,754481,True
4,2000,2612,469607,True
3,2000,2209,121698,True
2,2000,5059,797780,True
2,2000,4445,337642,True
3,2000,6837,843065,True
4,2000,4289,230584,True
2,2000,4575,285317,True
5,2000,5748,116986,True
3,2000,3649,364150,True
2,2000,4154,485007,True
1,2000,2261,671003,True
5,2000,3775,85749,True
3,2000,3856,303290,True
4,2000,6333,450937,True
2,2000,2070,812195,True
3,2000,6644,638743,True
2,2000,5538,131753,True
1,2000,2684,24650,True
6,2000,6252,245500,True
4,2000,3575,643888,True
6,2000,6488,898935,True
2,2000,6055,673382,True
1,2000,4159,30779,True
5,2000,3012,761620,True
2,2000,2434,61349,True
4,2000,6925,273487,True
6,2000,2129,887889,True
2,2000,2899,595470,True
4,2000,2887,326745,True
2,2000,4258,518312,True
5,2000,6341,268473,True
1,2000,4041,990936,True
6,2000,6052,60728,True
1,2000,3208,99374,True
2,2000,4600,480406,True
5,2000,3522,44366,True
6,2000,6121,564745,True
6,2000,5075,621519,True
6,2000,5670,63205,True
1,2000,4573,168196,True
3,2000,5873,390865,True
6,2000,4411,440031,True
1,2000,3623,582276,True
2,2000,3047,308893,True
1,2000,5099,220979,True
5,2000,3456,384181,True
5,2000,6538,593614,True
4,2000,5343,206314,True
5,2000,3444,608930,True
6,2000,5222,636888,True
5,2000,5481,255560,True
6,2000,4156,592702,True
6,2000,6161,56153,True
6,2000,4726,749090,True
5,2000,5615,306686,True
6,2000,2220,840956,True
5,2000,2139,971237,True
1,2000,3551,386742,True
6,2000,5944,574079,True
2,2000,4728,603857,True
4,2000,5286,66042,True
1,2000,4313,507051,True
4,2000,5650,555673,True
6,2000,2058,722138,True
1,2000,5087,63140,True
2,2000,4078,61930,True
2,2000,3381,184399,True
1,2000,2721,751337,True
2,2000,3627,947435,True
6,2000,2825,689917,True
4,2000,6647,467269,True
5,2000,5742,87662,True
6,2000,5245,180414,True
3,2000,4602,530355,True
4,2000,5735,407493,True
3,2000,2857,728550,True
4,2000,3626,376908,True
2,2000,5348,867087,True
4,2000,6676,147065,True
4,2000,5482,813425,True
2,2000,6323,123932,True
3,2000,4749,1525,True
5,2000,2813,46857,True
5,2000,6354,751321,True
3,2000,2778,962582,True
4,2000,6261,664140,True
4,2000,4857,599473,True
6,2000,2311,284379,True
4,2000,3216,534405,True
4,2000,5612,793390,True
5,2000,4892,183479,True
3,2000,4230,539966,True
2,2000,5929,992007,True
5,2000,3983,925007,True
2,2000,4661,993707,True
2,2000,2292,291293,True
5,2000,2645,448957,True
5,2000,2389,734784,True
6,2000,2130,850740,True
1,2000,4772,56961,True
1,2000,6204,103557,True
4,2000,6560,343957,True
4,2000,6726,996197,True
5,2000,4333,544223,True
6,2000,6764,460721,True
6,2000,6716,988760,True
5,2000,4908,685755,True
3,2000,2722,981077,True
4,2000,6934,945422,True
4,2000,6153,976448,True
6,2000,2735,639859,True
6,2000,2140,930548,True
1,2000,6332,993139,True
4,2000,4344,511629,True
2,2000,4149,67023,True
3,2000,5369,862664,True
1,2000,3452,255128,True
6,2000,4667,770199,True
4,2000,4091,899834,True
6,2000,5555,64880,True
1,2000,3236,66281,True
5,2000,4039,972604,True
2,2000,4843,396655,True
5,2000,2410,938002,True
1,2000,4033,561615,True
4,2000,4584,309258,True
3,2000,4547,846891,True
