2040,4,xtwhtxhtnom,2236,-1,2021-12-05 16:10:59,8,0
2389,5,hgahnbad,2236,-1,2021-12-05 16:10:59,1,2
2091,3,lpnondo,2236,-1,2021-12-05 16:10:59,4,0
2682,4,krzrbtgsuzyp,2236,-1,2021-12-05 16:10:59,10,4
2877,5,rufdwphmalqcbzxestu,2236,-1,2021-12-05 16:10:59,0,2
2070,4,llsilxmkrzargkfz,2236,-1,2021-12-05 16:10:59,7,2
2260,2,xjcfnxvli,2236,-1,2021-12-05 16:10:59,1,1
2843,4,trnegeyitpilctdmh,2236,-1,2021-12-05 16:10:59,0,1
2382,1,iebtljpbgwp,4032,-1,2021-12-05 16:10:59,1,2
2025,2,jwptpxajissabbkawoa,4032,-1,2021-12-05 16:10:59,3,3
2974,5,hxhsslzzgtkuljbxva,5826,-1,2021-12-05 16:10:59,10,0
2919,4,fuhhbrgtvgz,5826,-1,2021-12-05 16:10:59,7,3
2758,5,wdjgigxxs,5826,-1,2021-12-05 16:10:59,0,0
2210,5,wzoxuiijsdivofsv,6729,-1,2021-12-05 16:10:59,10,1
2232,5,adkkolibeoz,6729,-1,2021-12-05 16:10:59,3,0
2958,2,fmgsugumrdqkua,6729,-1,2021-12-05 16:10:59,5,2
2519,1,kvm,6729,-1,2021-12-05 16:10:59,8,0
2341,1,obiuzu,6729,-1,2021-12-05 16:10:59,7,2
2324,2,tyxojmwxyjmmmr,6729,-1,2021-12-05 16:10:59,5,3
2295,3,ndoevlnxundnhxh,3665,-1,2021-12-05 16:10:59,2,3
2274,4,jeriueyr,3665,-1,2021-12-05 16:10:59,9,3
2856,2,lwqocjyvcuwfnvgpjyj,3665,-1,2021-12-05 16:10:59,7,1
2836,1,rqfpzjixjsxacj,3665,-1,2021-12-05 16:10:59,4,1
2977,3,hvuhtjppyswuczynij,3665,-1,2021-12-05 16:10:59,8,3
2686,3,geujpx,3665,-1,2021-12-05 16:10:59,9,0
2175,5,hvisqcigpzakmn,5442,-1,2021-12-05 16:10:59,7,4
2879,3,mhrsttcxihbygafoqoc,5442,-1,2021-12-05 16:10:59,6,4
2343,4,rpcbhgw,5442,-1,2021-12-05 16:10:59,4,4
2677,4,upkld,5442,-1,2021-12-05 16:10:59,10,3
2625,1,lhksj,5442,-1,2021-12-05 16:10:59,6,3
2241,3,elhocmvgtjlwucva,5442,-1,2021-12-05 16:10:59,9,3
2717,5,bcjwfxvnpoho,2111,-1,2021-12-05 16:10:59,4,0
2059,1,yqpbskayezrvhpqqcd,2111,-1,2021-12-05 16:10:59,9,4
2800,3,xrl,2111,-1,2021-12-05 16:10:59,6,2
2277,5,lubjrelrlgpujjxtne,2111,-1,2021-12-05 16:10:59,3,3
2133,4,vmiqinwwwfalcy,2111,-1,2021-12-05 16:10:59,0,1
2634,3,slhzcksejvaen,2111,-1,2021-12-05 16:10:59,5,1
2885,5,vxbhadhnqh,5279,-1,2021-12-05 16:10:59,9,0
2276,1,ykhnriksnytd,5279,-1,2021-12-05 16:10:59,6,1
2622,5,bkrjghfcrwnocsyiztsy,5279,-1,2021-12-05 16:10:59,5,4
2499,5,twumurbjxjzsjhnnf,5279,-1,2021-12-05 16:10:59,0,0
2226,5,yrgpvsc,5279,-1,2021-12-05 16:10:59,3,2
2773,1,lgsak,5279,-1,2021-12-05 16:10:59,8,2
2711,5,nwplwconu,4222,-1,2021-12-05 16:10:59,2,1
2470,1,tbccymrzrjukhohduuw,4222,-1,2021-12-05 16:10:59,10,2
2681,1,twkahoauznssdwvubnvu,4453,-1,2021-12-05 16:10:59,10,1
2371,1,bgaghloatkx,4453,-1,2021-12-05 16:10:59,8,2
2759,2,jwflsrioqv,4453,-1,2021-12-05 16:10:59,0,1
2924,1,bfpxnhox,4453,-1,2021-12-05 16:10:59,6,0
2041,2,doetosuovsfcxsyhzh,4453,-1,2021-12-05 16:10:59,4,4
2724,2,brqlqavmb,4453,-1,2021-12-05 16:10:59,8,2
2502,4,ganvlozkkhuwymtnddov,4207,-1,2021-12-05 16:10:59,1,1
2351,4,gugnfvjgsxm,4207,-1,2021-12-05 16:10:59,10,3
2464,2,mthpjumluoun,4207,-1,2021-12-05 16:10:59,0,3
2125,4,ralrwlmvbih,6426,-1,2021-12-05 16:10:59,9,2
2360,4,bwldtfkjhhyrixollt,5412,-1,2021-12-05 16:10:59,0,4
2378,2,lxuxikofwcmrcrarwto,5412,-1,2021-12-05 16:10:59,3,1
2412,1,budbmph,5412,-1,2021-12-05 16:10:59,0,1
