2389,2647,6022,-1
2635,2647,6022,-1
2429,2647,6022,-1
2542,2647,6022,-1
2179,2098,6022,-1
2615,2098,6022,-1
2749,2098,6022,-1
2801,2098,6022,-1
2771,2098,6022,-1
2036,2098,6022,-1
2783,2098,6022,-1
2896,2098,6022,-1
2947,2098,6022,-1
2240,2782,6022,-1
2050,2782,6022,-1
2598,2782,6022,-1
2145,2782,6022,-1
2540,2782,6022,-1
2375,2391,6022,-1
2356,2391,6022,-1
2267,2391,6022,-1
2014,2391,6022,-1
2000,2391,6022,-1
2475,2391,6022,-1
2534,2391,6022,-1
2294,2391,6022,-1
2008,2391,6022,-1
2423,2391,6022,-1
2221,2594,6022,-1
2175,2594,6022,-1
2481,2594,6022,-1
2893,2594,6022,-1
2033,2594,6022,-1
2898,2594,6022,-1
2085,2594,6022,-1
2733,2594,6022,-1
2776,2594,6022,-1
2939,2914,4938,-1
2042,2914,4938,-1
2270,2914,4938,-1
2657,2914,4938,-1
2234,2914,4938,-1
2163,2914,4938,-1
2562,2292,3632,-1
2893,2292,3632,-1
2498,2292,3632,-1
2615,2292,3632,-1
2462,2292,3632,-1
2718,2292,3632,-1
2029,2292,3632,-1
2481,2292,3632,-1
2695,2292,3632,-1
2009,2292,3632,-1
2046,2456,3632,-1
2692,2456,3632,-1
2018,2456,3632,-1
2036,2456,3632,-1
2246,2456,3632,-1
2099,2456,3632,-1
2704,2456,3632,-1
2989,2981,3632,-1
2510,2981,3632,-1
2358,2981,3632,-1
2494,2981,3632,-1
2628,2981,3632,-1
2884,2981,3632,-1
2662,2981,3632,-1
2367,2981,3632,-1
2519,2981,3632,-1
2819,2981,3632,-1
2887,2730,3632,-1
2182,2730,3632,-1
2363,2730,3632,-1
2823,2730,3632,-1
2019,2730,3632,-1
2093,2730,3632,-1
2971,2730,3632,-1
2098,2730,3632,-1
2219,2730,3632,-1
2748,2688,6788,-1
2391,2688,6788,-1
2202,2688,6788,-1
2233,2148,6788,-1
2726,2148,6788,-1
2944,2148,6788,-1
2794,2148,6788,-1
2022,2148,6788,-1
2589,2148,6788,-1
2679,2148,6788,-1
2454,2148,6788,-1
2287,2148,6788,-1
2361,2148,6788,-1
2625,2997,6788,-1
2664,2997,6788,-1
2210,2997,6788,-1
2856,2997,6788,-1
2609,2997,6788,-1
2654,2997,6788,-1
2875,2961,6788,-1
2790,2961,6788,-1
2143,2961,6788,-1
2885,2961,6788,-1
