1000,Au Lait,coffee and steamed milk,Beverages,3.1,True,2135,x
1001,Mexican Coffee,chocalate cinnamon nutmeg and steamed milk,Beverages,3.35,True,2627,x
1002,Caramello,"caramell, vanilla, steamed milk, and caramel drizzle",Beverages,4.65,True,2296,x
1003,Black Bean Burger,"spicy black bean patty with lettuce, tomato, onion, and fat free ranch on wheat roll",Entrées,10.39,True,2172,x
1004,Strawberry Banana Shake,"real ice cream milk and strawberries, hand dipped and topped with whipped cream",Desserts,5.69,True,2514,x
1005,Onion Rings,10 panko battered onion rings served with a creamy jalapeño horse raddish sauce,Sides,6.89,True,2895,x
1006,Big Mac,two 100% pure beef patties and Big Mac sauce sandwiched between a sesame seed bun,Entrées,4.99,True,2086,x
1007,French Fries,world famous fries made with prenium potatoes,Sides,3.19,True,2918,x
1008,Mango Pineapple Smoothie,sweet combination of fruit juices and purees such as mango and pineapple,Beverages,3.89,True,2581,x
1009,Beijing Beef,"crispy beef, bell peppers and onions in a sweet-tangy sauce",Entrées,6.4,True,2398,x
1010,Crispy Almond Chicken,"all-white meat chicken with out crunchy, signature puffed-rice breading that is wok-tossed with toasted almonds & freshly chopped green onions in a savory soy garlic sauce",Entrées,6.4,True,2413,x
1011,Bottled Drink,description unavailable,Beverages,2.1,True,2912,x
1012,Spicy Il Forno,"fennel sausage, spicy arrabbiata sauce, peppers & onions, rigatoni, green onions, roasted tomatoes, romano",Entrées,9.35,True,2837,x
1013,Garden Pesto,"pesto sauce, fettuccine, spinach, tomatoes, mushrooms, red peppers, basil, romano",Entrées,9.35,True,2351,x
1014,Lemon Pelligrino,description unavailable,Beverages,3.35,True,2274,x
1015,Arepa Bowl,latin bowl customized with your choice of toppings,Entrées,9.35,True,2991,x
1016,2 Tacos,tacos customized with your choice of protein and toppings,Beverages,9.35,True,2323,x
1017,Smart Water,description unavailable,Beverages,2.0,True,2533,x
2000,xcnhgjdcrmmbcs,gnvynk,Desserts,982,True,2980,swrzuuczdfncjtsa
2001,ggnxee,hnktan,Appetizers,973,False,2598,ecdmvccbgkonjicuyki
2002,tmcgognpmes,anlpabwcpxiuzsfin,Entrées,714,False,2859,xiqg
2003,ixyvts,hgyknvxacetfaptxbo,Beverages,367,False,2154,qhzmlg
2004,madzyprbjsqx,ehlm,Beverages,750,True,2356,qjvgngdnpc
2005,nxaldrwulfoixwjipbpn,owduhe,Desserts,54,True,2269,hlbubi
2006,jcyqqoajdh,jupixhp,Desserts,710,False,2772,vwvimtbfnaiwrl
2007,uoplxuucj,bjjk,Sides,29,False,2385,cqyaytdeemdrpcx
2008,cdabfyhtqsjszj,nwltsrfiljxowewlqmup,Entrées,207,False,2963,ctdvfefl
2009,oxvdvirnzgfvkl,utqkbfftdrfdwkghex,Desserts,101,True,2430,ddrrtts
2010,bpdarx,bhsnebwgwqqgsuqc,Appetizers,157,False,2791,hvtoanvtvbtmfueo
2011,ykgeelfbkhcdoq,vppfxmcoqgb,Beverages,665,False,2040,zlateo
2012,ezudhcbzjcqd,icbjvbomgf,Appetizers,485,False,2573,lzqvtopijp
2013,qrgjcldqgcsziie,sobqmbcaogtycv,Sides,757,True,2349,gcqgsmwlobnqg
2014,bqvvuwfpu,bana,Desserts,199,True,2689,nedogoqrjofdyxfcyg
2015,reaxxzsjsenbwhqhryw,gtnhu,Desserts,633,True,2622,feitotolqeftbbmina
2016,fzfitzljuhfbe,ehpemjqrsotwxmqzh,Sides,102,True,2931,usyspa
2017,yehxwe,ggbetiuk,Desserts,794,True,2622,csja
2018,jschmgrpcuz,xmplc,Desserts,222,False,2177,geukvqgzm
2019,gvsvogsmvlobdof,czngrjpdpxlswg,Sides,564,False,2855,vhgr
2020,axxezdvm,ictqvffezoovkyz,Beverages,239,False,2805,aqasztjl
2021,vpuhpnoxumxrcfonnad,srktidfvbmfvesumi,Appetizers,245,True,2977,yktdxvvxnruirhbgfys
